v004_code,high_stress_group,count,percent
1.0,0,1462,59.74662852472415
1.0,1,985,40.25337147527585
2.0,0,564,74.60317460317461
2.0,1,192,25.396825396825395
3.0,0,32,65.3061224489796
3.0,1,17,34.69387755102041
