bully_label,high_stress_group,count,percent
No,0,1744,67.72815533980582
No,1,831,32.271844660194176
Prefer not to say,0,56,57.73195876288659
Prefer not to say,1,41,42.2680412371134
Yes,0,254,44.25087108013937
Yes,1,320,55.749128919860624
