question,factor,level,high_stress_group,count,percent
Q35.e – University supports good work–life balance,v101_num,High support (5–7),0,423,87.75933609958506
Q35.e – University supports good work–life balance,v101_num,High support (5–7),1,59,12.240663900414937
Q35.e – University supports good work–life balance,v101_num,Low support (1–3),0,1441,65.35147392290249
Q35.e – University supports good work–life balance,v101_num,Low support (1–3),1,764,34.64852607709751
Q35.e – University supports good work–life balance,v101_num,Neutral (4),0,185,33.820840950639855
Q35.e – University supports good work–life balance,v101_num,Neutral (4),1,362,66.17915904936015
