question,factor,level,high_stress_group,count,percent
Q27.f – Overall relationship with supervisor,v079_num,High support (5–7),0,308,43.87464387464387
Q27.f – Overall relationship with supervisor,v079_num,High support (5–7),1,394,56.12535612535613
Q27.f – Overall relationship with supervisor,v079_num,Low support (1–3),0,1490,70.54924242424242
Q27.f – Overall relationship with supervisor,v079_num,Low support (1–3),1,622,29.450757575757574
Q27.f – Overall relationship with supervisor,v079_num,Neutral (4),0,206,54.93333333333334
Q27.f – Overall relationship with supervisor,v079_num,Neutral (4),1,169,45.06666666666666
