question,factor,level,high_stress_group,count,percent
Q32.a – Supervisor makes time for frank conversations about my career,v091_num,High support (5–7),0,427,69.54397394136808
Q32.a – Supervisor makes time for frank conversations about my career,v091_num,High support (5–7),1,187,30.456026058631924
Q32.a – Supervisor makes time for frank conversations about my career,v091_num,Low support (1–3),0,1419,65.12161541991739
Q32.a – Supervisor makes time for frank conversations about my career,v091_num,Low support (1–3),1,760,34.8783845800826
Q32.a – Supervisor makes time for frank conversations about my career,v091_num,Neutral (4),0,212,46.187363834422655
Q32.a – Supervisor makes time for frank conversations about my career,v091_num,Neutral (4),1,247,53.812636165577345
