region_continent,high_stress_group,count,percent_within_region
Africa,0,83,79.04761904761905
Africa,1,22,20.952380952380953
Asia,0,480,60.75949367088608
Asia,1,310,39.24050632911392
Australasia,0,83,68.59504132231406
Australasia,1,38,31.40495867768595
Europe,0,712,62.129144851657934
Europe,1,434,37.87085514834206
North/Central America,0,566,61.72300981461287
North/Central America,1,351,38.276990185387135
South America,0,134,77.45664739884393
South America,1,39,22.54335260115607
