help_label,high_stress_percent,high_stress_count,total_count
I want help but have not yet sought it,49.44649446494465,268,542
I want help/have asked for help but have not yet received it,61.98347107438017,75,121
No,26.942266571632217,378,1403
Prefer not to say,29.67032967032967,27,91
Yes,40.795559666975024,441,1081
