region_continent,high_stress_count,high_stress_percent,non_high_stress_count,non_high_stress_percent,total_count
Europe,434,37.87085514834206,712,62.129144851657934,1146
North/Central America,351,38.276990185387135,566,61.72300981461287,917
Asia,310,39.24050632911392,480,60.75949367088608,790
South America,39,22.54335260115607,134,77.45664739884393,173
Australasia,38,31.40495867768595,83,68.59504132231406,121
Africa,22,20.952380952380956,83,79.04761904761905,105
